Image File,Caption,Tokenized Caption,Encoded Tokens
img/insta4944,<start> I spy Norman. Can u find him? Lol.  <end>,"['<start>', 'i', 'spy', 'norman', '.', 'can', 'u', 'find', 'him', '?', 'lol', '.', '<end>']","[2, 6, 557, 1085, 1, 101, 35, 391, 256, 412, 53, 1, 3]"
img/insta4945,<start> let the birthday celebrations begin! First stop:  <end>,"['<start>', 'let', 'the', 'birthday', 'celebrations', 'begin', '!', 'first', 'stop', ':', '<end>']","[2, 192, 5, 39, 1608, 658, 133, 132, 200, 345, 3]"
img/insta4946,<start> Ms.SoFly  <end>,"['<start>', 'ms.sofly', '<end>']","[2, 1, 3]"
img/insta4947,<start> Another & Kylie day  <end>,"['<start>', 'another', '&', 'kylie', 'day', '<end>']","[2, 254, 25, 228, 36, 3]"
img/insta4949,<start> You can keep ur Rollie on when I get to it  <end>,"['<start>', 'you', 'can', 'keep', 'ur', 'rollie', 'on', 'when', 'i', 'get', 'to', 'it', '<end>']","[2, 7, 101, 403, 182, 6096, 17, 57, 6, 64, 9, 20, 3]"
img/insta4950,<start> Such a G  <end>,"['<start>', 'such', 'a', 'g', '<end>']","[2, 272, 8, 655, 3]"
img/insta4953,<start> Kourt & Ky swim session  <end>,"['<start>', 'kourt', '&', 'ky', 'swim', 'session', '<end>']","[2, 1609, 25, 586, 746, 1397, 3]"
img/insta4954,<start> Sisters   <end>,"['<start>', 'sisters', '<end>']","[2, 183, 3]"
img/insta4956,<start> You're my darling angel babyyyyy  <end>,"['<start>', 'you', ""'re"", 'my', 'darling', 'angel', 'babyyyyy', '<end>']","[2, 7, 1, 4, 1844, 374, 6097, 3]"
img/insta4958,<start> that's my best friend go best friend  <end>,"['<start>', 'that', ""'s"", 'my', 'best', 'friend', 'go', 'best', 'friend', '<end>']","[2, 61, 437, 4, 47, 107, 62, 47, 107, 3]"
img/insta4960,<start> Throwback. Love this outfit I created.  <end>,"['<start>', 'throwback', '.', 'love', 'this', 'outfit', 'i', 'created', '.', '<end>']","[2, 158, 1, 11, 16, 402, 6, 2874, 1, 3]"
img/insta4962,<start> Looking over at little Kylie like..  <end>,"['<start>', 'looking', 'over', 'at', 'little', 'kylie', 'like', '..', '<end>']","[2, 330, 229, 22, 44, 228, 37, 1, 3]"
img/insta4963,<start> king kylie  <end>,"['<start>', 'king', 'kylie', '<end>']","[2, 284, 228, 3]"
img/insta4964,<start> Yes  <end>,"['<start>', 'yes', '<end>']","[2, 263, 3]"
img/insta4966,<start> Yeah.. What they said..   <end>,"['<start>', 'yeah', '..', 'what', 'they', 'said', '..', '<end>']","[2, 624, 1, 46, 128, 327, 1, 3]"
img/insta4967,<start> balmain  <end>,"['<start>', 'balmain', '<end>']","[2, 310, 3]"
img/insta4968,<start> & Dolce&Gabbana dress  <end>,"['<start>', '&', 'dolce', '&', 'gabbana', 'dress', '<end>']","[2, 25, 819, 25, 3023, 248, 3]"
img/insta4974,<start> touched by Ariel & Chris  <end>,"['<start>', 'touched', 'by', 'ariel', '&', 'chris', '<end>']","[2, 2875, 28, 2793, 25, 2263, 3]"
img/insta4975,<start> baby pink  <end>,"['<start>', 'baby', 'pink', '<end>']","[2, 38, 168, 3]"
img/insta4979,<start> love me some sisters   <end>,"['<start>', 'love', 'me', 'some', 'sisters', '<end>']","[2, 11, 14, 98, 183, 3]"
img/insta4980,<start> Sister Rivalry   <end>,"['<start>', 'sister', 'rivalry', '<end>']","[2, 124, 3837, 3]"
img/insta4981,<start> BALMAIN CAMPAIGN. love to youuuu  <end>,"['<start>', 'balmain', 'campaign', '.', 'love', 'to', 'youuuu', '<end>']","[2, 310, 879, 1, 11, 9, 2264, 3]"
img/insta4985,<start> All black  had to change to match  <end>,"['<start>', 'all', 'black', 'had', 'to', 'change', 'to', 'match', '<end>']","[2, 32, 190, 137, 9, 675, 9, 777, 3]"
img/insta4987,<start> espys for some fam support  <end>,"['<start>', 'espys', 'for', 'some', 'fam', 'support', '<end>']","[2, 3838, 15, 98, 268, 1582, 3]"
img/insta4990,"<start> Dammit, Kylie!   <end>","['<start>', 'dammit', ',', 'kylie', '!', '<end>']","[2, 6099, 1, 228, 133, 3]"
img/insta4991,<start> white carbon mmmhm  <end>,"['<start>', 'white', 'carbon', 'mmmhm', '<end>']","[2, 358, 6101, 6102, 3]"
img/insta4993,<start> New. Thanks  <end>,"['<start>', 'new', '.', 'thanks', '<end>']","[2, 23, 1, 68, 3]"
img/insta4995,<start> I'm smiling on the inside I swear  <end>,"['<start>', 'i', ""'m"", 'smiling', 'on', 'the', 'inside', 'i', 'swear', '<end>']","[2, 6, 1, 913, 17, 5, 485, 6, 1095, 3]"
img/insta4998,<start> I woke up like disss  <end>,"['<start>', 'i', 'woke', 'up', 'like', 'disss', '<end>']","[2, 6, 650, 29, 37, 3839, 3]"
img/insta4999,<start> &  <end>,"['<start>', '&', '<end>']","[2, 25, 3]"
img/insta5000,<start> link in bio.  <end>,"['<start>', 'link', 'in', 'bio', '.', '<end>']","[2, 135, 10, 142, 1, 3]"
img/insta5002,<start> Sis  <end>,"['<start>', 'sis', '<end>']","[2, 392, 3]"
img/insta5005,<start> found the original.  <end>,"['<start>', 'found', 'the', 'original', '.', '<end>']","[2, 217, 5, 2265, 1, 3]"
img/insta5007,<start> Mother dearest  <end>,"['<start>', 'mother', 'dearest', '<end>']","[2, 672, 6103, 3]"
img/insta5010,<start> Major throwback  <end>,"['<start>', 'major', 'throwback', '<end>']","[2, 748, 158, 3]"
img/insta5014,<start> team brown eyes   <end>,"['<start>', 'team', 'brown', 'eyes', '<end>']","[2, 180, 619, 332, 3]"
img/insta5015,<start> Interviews.  <end>,"['<start>', 'interviews', '.', '<end>']","[2, 1606, 1, 3]"
img/insta5016,<start> Obsessed with and their clothing   <end>,"['<start>', 'obsessed', 'with', 'and', 'their', 'clothing', '<end>']","[2, 398, 13, 12, 1775, 2266, 3]"
img/insta5017,<start> & when the sun goes down ...  <end>,"['<start>', '&', 'when', 'the', 'sun', 'goes', 'down', '...', '<end>']","[2, 25, 57, 5, 348, 844, 208, 1, 3]"
img/insta5018,<start> thanks for helping me bring my visions to life  <end>,"['<start>', 'thanks', 'for', 'helping', 'me', 'bring', 'my', 'visions', 'to', 'life', '<end>']","[2, 68, 15, 2158, 14, 838, 4, 6104, 9, 50, 3]"
img/insta5023,<start> don't you wish your move in crew looked like mine  <end>,"['<start>', 'do', ""n't"", 'you', 'wish', 'your', 'move', 'in', 'crew', 'looked', 'like', 'mine', '<end>']","[2, 65, 1, 7, 726, 49, 1242, 10, 261, 956, 37, 729, 3]"
img/insta5027,<start> Knock knock i've got a delivery! lets paaartyy  <end>,"['<start>', 'knock', 'knock', 'i', ""'ve"", 'got', 'a', 'delivery', '!', 'lets', 'paaartyy', '<end>']","[2, 1346, 1346, 6, 1, 63, 8, 6947, 133, 1002, 6106, 3]"
img/insta5028,<start> toes  <end>,"['<start>', 'toes', '<end>']","[2, 1816, 3]"
img/insta5029,<start> Francesco Scognamiglio  <end>,"['<start>', 'francesco', 'scognamiglio', '<end>']","[2, 6107, 6108, 3]"
img/insta5030,<start> whooop The Gold Album on iTunes! link on his page  <end>,"['<start>', 'whooop', 'the', 'gold', 'album', 'on', 'itunes', '!', 'link', 'on', 'his', 'page', '<end>']","[2, 6109, 5, 536, 526, 17, 939, 133, 135, 17, 134, 1584, 3]"
img/insta5032,<start> Had so much fun at the party in Cannes with and  <end>,"['<start>', 'had', 'so', 'much', 'fun', 'at', 'the', 'party', 'in', 'cannes', 'with', 'and', '<end>']","[2, 137, 24, 79, 89, 22, 5, 116, 10, 691, 13, 12, 3]"
img/insta5033,"<start> the love is mutual, Norman.  <end>","['<start>', 'the', 'love', 'is', 'mutual', ',', 'norman', '.', '<end>']","[2, 5, 11, 18, 6110, 1, 1085, 1, 3]"
img/insta5034,<start> CANNES   <end>,"['<start>', 'cannes', '<end>']","[2, 691, 3]"
img/insta5035,<start> On the road again: destination Cannes with and  <end>,"['<start>', 'on', 'the', 'road', 'again', ':', 'destination', 'cannes', 'with', 'and', '<end>']","[2, 17, 5, 356, 184, 345, 6112, 691, 13, 12, 3]"
img/insta5036,<start> Snapz  <end>,"['<start>', 'snapz', '<end>']","[2, 6113, 3]"
img/insta5037,<start> Necessities   <end>,"['<start>', 'necessities', '<end>']","[2, 3840, 3]"
img/insta5039,<start> My lil snowball  <end>,"['<start>', 'my', 'lil', 'snowball', '<end>']","[2, 4, 125, 6114, 3]"
img/insta5040,<start> Lauren had it first.  <end>,"['<start>', 'lauren', 'had', 'it', 'first', '.', '<end>']","[2, 3841, 137, 20, 132, 1, 3]"
img/insta5042,<start> Yo I can't  I love when my sister is in town.  <end>,"['<start>', 'yo', 'i', 'ca', ""n't"", 'i', 'love', 'when', 'my', 'sister', 'is', 'in', 'town', '.', '<end>']","[2, 470, 6, 2123, 1, 6, 11, 57, 4, 124, 18, 10, 354, 1, 3]"
img/insta5044,<start> Now out to do some gift shopping. My favorite thing to do  <end>,"['<start>', 'now', 'out', 'to', 'do', 'some', 'gift', 'shopping', '.', 'my', 'favorite', 'thing', 'to', 'do', '<end>']","[2, 45, 30, 9, 65, 98, 1593, 604, 1, 4, 126, 413, 9, 65, 3]"
img/insta5048,<start>  thanks for the edit  <end>,"['<start>', 'thanks', 'for', 'the', 'edit', '<end>']","[2, 68, 15, 5, 2268, 3]"
img/insta5049,<start> cute little airport pic  <end>,"['<start>', 'cute', 'little', 'airport', 'pic', '<end>']","[2, 171, 44, 660, 150, 3]"
img/insta5051,<start> Yogurt date w Kim  <end>,"['<start>', 'yogurt', 'date', 'w', 'kim', '<end>']","[2, 3842, 220, 155, 493, 3]"
img/insta5052,<start> teeth cleaned thanks to the best  <end>,"['<start>', 'teeth', 'cleaned', 'thanks', 'to', 'the', 'best', '<end>']","[2, 2876, 6115, 68, 9, 5, 47, 3]"
img/insta5054,<start> Ky makeup  <end>,"['<start>', 'ky', 'makeup', '<end>']","[2, 586, 336, 3]"
img/insta5055,<start> BeverlyHills  <end>,"['<start>', 'beverlyhills', '<end>']","[2, 6116, 3]"
img/insta5056,<start> NORTH.  <end>,"['<start>', 'north', '.', '<end>']","[2, 418, 1, 3]"
img/insta5057,<start> ky makeup  <end>,"['<start>', 'ky', 'makeup', '<end>']","[2, 586, 336, 3]"
img/insta5059,<start> Out  <end>,"['<start>', 'out', '<end>']","[2, 30, 3]"
img/insta5061,<start> Finger Candy  <end>,"['<start>', 'finger', 'candy', '<end>']","[2, 1501, 401, 3]"
img/insta5063,<start>  new newww  <end>,"['<start>', 'new', 'newww', '<end>']","[2, 23, 6117, 3]"
img/insta5066,<start> I'm just gonna do whatever makes me happy in life   <end>,"['<start>', 'i', ""'m"", 'just', 'gon', 'na', 'do', 'whatever', 'makes', 'me', 'happy', 'in', 'life', '<end>']","[2, 6, 1, 31, 2005, 3465, 65, 1398, 502, 14, 21, 10, 50, 3]"
img/insta5068,<start> First let me...  <end>,"['<start>', 'first', 'let', 'me', '...', '<end>']","[2, 132, 192, 14, 1, 3]"
img/insta5073,<start> Sisters the staple center !  <end>,"['<start>', 'sisters', 'the', 'staple', 'center', '!', '<end>']","[2, 183, 5, 6118, 3843, 133, 3]"
img/insta5077,<start> so beautiful  <end>,"['<start>', 'so', 'beautiful', '<end>']","[2, 24, 86, 3]"
img/insta5079,<start> She so pretty   <end>,"['<start>', 'she', 'so', 'pretty', '<end>']","[2, 78, 24, 194, 3]"
img/insta5080,<start> I'm crazy  <end>,"['<start>', 'i', ""'m"", 'crazy', '<end>']","[2, 6, 1, 397, 3]"
img/insta5083,<start> My angel on earth!  <end>,"['<start>', 'my', 'angel', 'on', 'earth', '!', '<end>']","[2, 4, 374, 17, 1285, 133, 3]"
img/insta5085,<start> Dogs couch now  <end>,"['<start>', 'dogs', 'couch', 'now', '<end>']","[2, 2269, 3844, 45, 3]"
img/insta5090,<start> It's a sister thing  <end>,"['<start>', 'it', ""'s"", 'a', 'sister', 'thing', '<end>']","[2, 20, 437, 8, 124, 413, 3]"
img/insta5093,<start>  go ahead and follow for some sneak peaks  <end>,"['<start>', 'go', 'ahead', 'and', 'follow', 'for', 'some', 'sneak', 'peaks', '<end>']","[2, 62, 2270, 12, 259, 15, 98, 559, 6120, 3]"
img/insta5094,<start> Secret projects  <end>,"['<start>', 'secret', 'projects', '<end>']","[2, 654, 2877, 3]"
img/insta5096,<start> Snap  <end>,"['<start>', 'snap', '<end>']","[2, 1083, 3]"
img/insta5097,<start> look at how much I love Bella  <end>,"['<start>', 'look', 'at', 'how', 'much', 'i', 'love', 'bella', '<end>']","[2, 54, 22, 77, 79, 6, 11, 2213, 3]"
img/insta5099,<start> Monaco   <end>,"['<start>', 'monaco', '<end>']","[2, 2271, 3]"
img/insta5102,<start> make magic  <end>,"['<start>', 'make', 'magic', '<end>']","[2, 114, 1069, 3]"
img/insta5106,<start> chill pia's my stylist   <end>,"['<start>', 'chill', 'pia', ""'s"", 'my', 'stylist', '<end>']","[2, 580, 1, 437, 4, 2272, 3]"
img/insta5108,<start> my first love redone! Thank you & for my custom wheels  <end>,"['<start>', 'my', 'first', 'love', 'redone', '!', 'thank', 'you', '&', 'for', 'my', 'custom', 'wheels', '<end>']","[2, 4, 132, 11, 1, 133, 27, 7, 25, 15, 4, 1243, 1845, 3]"
img/insta5109,<start> la traffic  <end>,"['<start>', 'la', 'traffic', '<end>']","[2, 139, 1610, 3]"
img/insta5111,<start> moments  love you lana  <end>,"['<start>', 'moments', 'love', 'you', 'lana', '<end>']","[2, 370, 11, 7, 1399, 3]"
img/insta5113,<start> yellow   <end>,"['<start>', 'yellow', '<end>']","[2, 919, 3]"
img/insta5114,<start> Balmain   <end>,"['<start>', 'balmain', '<end>']","[2, 310, 3]"
img/insta5115,<start> I'm here!!!!  <end>,"['<start>', 'i', ""'m"", 'here', '!', '!', '!', '!', '<end>']","[2, 6, 1, 100, 133, 133, 133, 133, 3]"
img/insta5116,<start> Vegas  <end>,"['<start>', 'vegas', '<end>']","[2, 250, 3]"
img/insta5118,<start> Such a fun experience in Napa w these lovely people ;)  <end>,"['<start>', 'such', 'a', 'fun', 'experience', 'in', 'napa', 'w', 'these', 'lovely', 'people', ';', ')', '<end>']","[2, 272, 8, 89, 2878, 10, 2879, 155, 75, 558, 202, 4713, 530, 3]"
img/insta5121,<start> behind the scenes.  <end>,"['<start>', 'behind', 'the', 'scenes', '.', '<end>']","[2, 464, 5, 569, 1, 3]"
img/insta5122,<start> On set w my sis !  <end>,"['<start>', 'on', 'set', 'w', 'my', 'sis', '!', '<end>']","[2, 17, 204, 155, 4, 392, 133, 3]"
img/insta5123,<start> Follow me   <end>,"['<start>', 'follow', 'me', '<end>']","[2, 259, 14, 3]"
img/insta5124,<start> One more just cuz i love em.  <end>,"['<start>', 'one', 'more', 'just', 'cuz', 'i', 'love', 'em', '.', '<end>']","[2, 56, 72, 31, 700, 6, 11, 450, 1, 3]"
img/insta5126,<start> that's just how we do it   <end>,"['<start>', 'that', ""'s"", 'just', 'how', 'we', 'do', 'it', '<end>']","[2, 61, 437, 31, 77, 34, 65, 20, 3]"
img/insta5127,<start> POPEYES AND PJS  <end>,"['<start>', 'popeyes', 'and', 'pjs', '<end>']","[2, 3845, 12, 2260, 3]"
img/insta5128,<start> makeup hair  <end>,"['<start>', 'makeup', 'hair', '<end>']","[2, 336, 83, 3]"
img/insta5129,<start> Family   <end>,"['<start>', 'family', '<end>']","[2, 91, 3]"
img/insta5130,<start> Daydreaming with  <end>,"['<start>', 'daydreaming', 'with', '<end>']","[2, 6124, 13, 3]"
img/insta5132,<start> Da boys  <end>,"['<start>', 'da', 'boys', '<end>']","[2, 181, 118, 3]"
img/insta5134,<start> HAPPY MOTHERS DAY MOM!!!! We love you!!!!!!!!  <end>,"['<start>', 'happy', 'mothers', 'day', 'mom', '!', '!', '!', '!', 'we', 'love', 'you', '!', '!', '!', '!', '!', '!', '!', '!', '<end>']","[2, 21, 2273, 36, 151, 133, 133, 133, 133, 34, 11, 7, 133, 133, 133, 133, 133, 133, 133, 133, 3]"
img/insta5135,<start> They so beautiful   <end>,"['<start>', 'they', 'so', 'beautiful', '<end>']","[2, 128, 24, 86, 3]"
img/insta5136,<start> Me & my best friends  <end>,"['<start>', 'me', '&', 'my', 'best', 'friends', '<end>']","[2, 14, 25, 4, 47, 143, 3]"
img/insta5138,<start> Where did da sun go   <end>,"['<start>', 'where', 'did', 'da', 'sun', 'go', '<end>']","[2, 175, 239, 181, 348, 62, 3]"
img/insta5139,<start> Crew Love  <end>,"['<start>', 'crew', 'love', '<end>']","[2, 261, 11, 3]"
img/insta5140,<start> Sis   <end>,"['<start>', 'sis', '<end>']","[2, 392, 3]"
img/insta5141,<start> too much sexiness around me  <end>,"['<start>', 'too', 'much', 'sexiness', 'around', 'me', '<end>']","[2, 97, 79, 6126, 347, 14, 3]"
img/insta5142,<start> I'm so over heels right now  <end>,"['<start>', 'i', ""'m"", 'so', 'over', 'heels', 'right', 'now', '<end>']","[2, 6, 1, 24, 229, 909, 119, 45, 3]"
img/insta5144,<start> Born & Raised .. & I'll probably die here   <end>,"['<start>', 'born', '&', 'raised', '..', '&', 'i', ""'ll"", 'probably', 'die', 'here', '<end>']","[2, 1045, 25, 3847, 1, 25, 6, 1, 1527, 611, 100, 3]"
img/insta5146,<start> I'm always eating ugh!  <end>,"['<start>', 'i', ""'m"", 'always', 'eating', 'ugh', '!', '<end>']","[2, 6, 1, 69, 891, 3066, 133, 3]"
img/insta5147,<start> 2 cool  <end>,"['<start>', '2', 'cool', '<end>']","[2, 93, 198, 3]"
img/insta5153,<start> face beat by   <end>,"['<start>', 'face', 'beat', 'by', '<end>']","[2, 121, 1188, 28, 3]"
img/insta5154,<start> Tb. I love them   <end>,"['<start>', 'tb', '.', 'i', 'love', 'them', '<end>']","[2, 1167, 1, 6, 11, 302, 3]"
img/insta5155,<start> Hey bae   <end>,"['<start>', 'hey', 'bae', '<end>']","[2, 185, 266, 3]"
img/insta5156,<start> KELLA  <end>,"['<start>', 'kella', '<end>']","[2, 6128, 3]"
img/insta5157,<start> Guys stop there's paps  <end>,"['<start>', 'guys', 'stop', 'there', ""'s"", 'paps', '<end>']","[2, 123, 200, 201, 437, 2880, 3]"
img/insta5158,<start> Brown lips ...   <end>,"['<start>', 'brown', 'lips', '...', '<end>']","[2, 619, 489, 1, 3]"
img/insta5159,<start> Gnight  <end>,"['<start>', 'gnight', '<end>']","[2, 3848, 3]"
img/insta5160,<start> daddy throwback.  <end>,"['<start>', 'daddy', 'throwback', '.', '<end>']","[2, 279, 158, 1, 3]"
img/insta5162,<start> I went with the Balmain booties.  <end>,"['<start>', 'i', 'went', 'with', 'the', 'balmain', 'booties', '.', '<end>']","[2, 6, 641, 13, 5, 310, 2881, 1, 3]"
img/insta5165,<start> Currently  <end>,"['<start>', 'currently', '<end>']","[2, 1234, 3]"
img/insta5166,"<start> My best friend, my heart, my brother  <end>","['<start>', 'my', 'best', 'friend', ',', 'my', 'heart', ',', 'my', 'brother', '<end>']","[2, 4, 47, 107, 1, 4, 165, 1, 4, 215, 3]"
img/insta5167,<start> chill pool day the Disick mansion  <end>,"['<start>', 'chill', 'pool', 'day', 'the', 'disick', 'mansion', '<end>']","[2, 580, 560, 36, 5, 845, 2768, 3]"
img/insta5168,<start> I love this shit !  <end>,"['<start>', 'i', 'love', 'this', 'shit', '!', '<end>']","[2, 6, 11, 16, 282, 133, 3]"
img/insta5170,<start> Khloes Pool Party. Chella   <end>,"['<start>', 'khloes', 'pool', 'party', '.', 'chella', '<end>']","[2, 2274, 560, 116, 1, 2882, 3]"
img/insta5172,<start> chella  <end>,"['<start>', 'chella', '<end>']","[2, 2882, 3]"
img/insta5174,<start> Girl ...  <end>,"['<start>', 'girl', '...', '<end>']","[2, 88, 1, 3]"
img/insta5176,<start> coachella round   <end>,"['<start>', 'coachella', 'round', '<end>']","[2, 1037, 636, 3]"
img/insta5177,<start> Thanks for the edit  <end>,"['<start>', 'thanks', 'for', 'the', 'edit', '<end>']","[2, 68, 15, 5, 2268, 3]"
img/insta5178,<start> Ahhh!!!! What a dream !!!! My cover is out!!!  <end>,"['<start>', 'ahhh', '!', '!', '!', '!', 'what', 'a', 'dream', '!', '!', '!', '!', 'my', 'cover', 'is', 'out', '!', '!', '!', '<end>']","[2, 2891, 133, 133, 133, 133, 46, 8, 317, 133, 133, 133, 133, 4, 111, 18, 30, 133, 133, 133, 3]"
img/insta5179,<start> thanks  <end>,"['<start>', 'thanks', '<end>']","[2, 68, 3]"
img/insta5180,<start> For fun  <end>,"['<start>', 'for', 'fun', '<end>']","[2, 15, 89, 3]"
img/insta5181,<start> People think we are cousins.   <end>,"['<start>', 'people', 'think', 'we', 'are', 'cousins', '.', '<end>']","[2, 202, 219, 34, 43, 2883, 1, 3]"
img/insta5183,<start> Outfit  <end>,"['<start>', 'outfit', '<end>']","[2, 402, 3]"
img/insta5185,<start> 1 2 many selfies  <end>,"['<start>', '1', '2', 'many', 'selfies', '<end>']","[2, 153, 93, 440, 828, 3]"
img/insta5187,<start> Baby   <end>,"['<start>', 'baby', '<end>']","[2, 38, 3]"
img/insta5190,<start> GREY X BLUE. Shoutout to my scar  <end>,"['<start>', 'grey', 'x', 'blue', '.', 'shoutout', 'to', 'my', 'scar', '<end>']","[2, 1237, 48, 193, 1, 618, 9, 4, 3822, 3]"
img/insta5192,<start> the road trip begins..  <end>,"['<start>', 'the', 'road', 'trip', 'begins', '..', '<end>']","[2, 5, 356, 329, 1338, 1, 3]"
img/insta5193,<start>  goodnight  <end>,"['<start>', 'goodnight', '<end>']","[2, 262, 3]"
img/insta5197,<start> when ur caught off guard   <end>,"['<start>', 'when', 'ur', 'caught', 'off', 'guard', '<end>']","[2, 57, 182, 491, 122, 2805, 3]"
img/insta5201,<start>  thanks  <end>,"['<start>', 'thanks', '<end>']","[2, 68, 3]"
img/insta5202,<start> Ok I'm done  <end>,"['<start>', 'ok', 'i', ""'m"", 'done', '<end>']","[2, 635, 6, 1, 362, 3]"
img/insta5203,<start> thanks for the necklace of my G wagon   <end>,"['<start>', 'thanks', 'for', 'the', 'necklace', 'of', 'my', 'g', 'wagon', '<end>']","[2, 68, 15, 5, 1180, 19, 4, 655, 2275, 3]"
img/insta5204,<start> pool day the Disick mansion  <end>,"['<start>', 'pool', 'day', 'the', 'disick', 'mansion', '<end>']","[2, 560, 36, 5, 845, 2768, 3]"
img/insta5207,<start> Outfit Tonight  <end>,"['<start>', 'outfit', 'tonight', '<end>']","[2, 402, 66, 3]"
img/insta5209,<start> RP  <end>,"['<start>', 'rp', '<end>']","[2, 1040, 3]"
img/insta5211,<start> I'm sorry too  <end>,"['<start>', 'i', ""'m"", 'sorry', 'too', '<end>']","[2, 6, 1, 478, 97, 3]"
img/insta5212,<start> currently  <end>,"['<start>', 'currently', '<end>']","[2, 1234, 3]"
img/insta5214,<start> I just love them  <end>,"['<start>', 'i', 'just', 'love', 'them', '<end>']","[2, 6, 31, 11, 302, 3]"
img/insta5215,<start> Love this shot too  get your copy remixmagazine.com  <end>,"['<start>', 'love', 'this', 'shot', 'too', 'get', 'your', 'copy', 'remixmagazine.com', '<end>']","[2, 11, 16, 176, 97, 64, 49, 1847, 1, 3]"
img/insta5221,<start> Couldn't happen without   <end>,"['<start>', 'could', ""n't"", 'happen', 'without', '<end>']","[2, 334, 1, 1783, 396, 3]"
img/insta5223,<start> MAIN  <end>,"['<start>', 'main', '<end>']","[2, 625, 3]"
img/insta5226,<start>  --> photoshoot  <end>,"['<start>', '--', '>', 'photoshoot', '<end>']","[2, 10444, 552, 677, 3]"
img/insta5227,<start> the basic workout attire  <end>,"['<start>', 'the', 'basic', 'workout', 'attire', '<end>']","[2, 5, 6132, 673, 2276, 3]"
img/insta5232,<start> RP that side eye   <end>,"['<start>', 'rp', 'that', 'side', 'eye', '<end>']","[2, 1040, 61, 338, 387, 3]"
img/insta5234,<start> miss this sweet child of mine  <end>,"['<start>', 'miss', 'this', 'sweet', 'child', 'of', 'mine', '<end>']","[2, 58, 16, 212, 799, 19, 729, 3]"
img/insta5236,<start>  wearing my jacket  <end>,"['<start>', 'wearing', 'my', 'jacket', '<end>']","[2, 276, 4, 876, 3]"
img/insta5237,<start> TONIGHT!!! TUNE INNNN  <end>,"['<start>', 'tonight', '!', '!', '!', 'tune', 'innnn', '<end>']","[2, 66, 133, 133, 133, 573, 6133, 3]"
img/insta5239,<start> Thank you for having me   <end>,"['<start>', 'thank', 'you', 'for', 'having', 'me', '<end>']","[2, 27, 7, 15, 411, 14, 3]"
img/insta5240,"<start> they keep me company while I shop lol, love u guys  <end>","['<start>', 'they', 'keep', 'me', 'company', 'while', 'i', 'shop', 'lol', ',', 'love', 'u', 'guys', '<end>']","[2, 128, 403, 14, 1384, 662, 6, 577, 53, 1, 11, 35, 123, 3]"
img/insta5241,<start> hide ya wife hide ya face.  <end>,"['<start>', 'hide', 'ya', 'wife', 'hide', 'ya', 'face', '.', '<end>']","[2, 1244, 244, 744, 1244, 244, 121, 1, 3]"
img/insta5243,<start> Okay guys! SUNDAY! The countdown begins.  <end>,"['<start>', 'okay', 'guys', '!', 'sunday', '!', 'the', 'countdown', 'begins', '.', '<end>']","[2, 1003, 123, 133, 2382, 133, 5, 2884, 1338, 1, 3]"
img/insta5244,<start> came home to these babes sleeping in my bed  <end>,"['<start>', 'came', 'home', 'to', 'these', 'babes', 'sleeping', 'in', 'my', 'bed', '<end>']","[2, 314, 80, 9, 75, 587, 747, 10, 4, 626, 3]"
img/insta5246,<start> we out  <end>,"['<start>', 'we', 'out', '<end>']","[2, 34, 30, 3]"
img/insta5248,<start> the team in the wagon  <end>,"['<start>', 'the', 'team', 'in', 'the', 'wagon', '<end>']","[2, 5, 180, 10, 5, 2275, 3]"
img/insta5249,<start> Norman meeting Bambi  welcome to the family  <end>,"['<start>', 'norman', 'meeting', 'bambi', 'welcome', 'to', 'the', 'family', '<end>']","[2, 1085, 921, 2864, 428, 9, 5, 91, 3]"
img/insta5250,<start> On the way to get my hair out. Ignore the messiness lol  <end>,"['<start>', 'on', 'the', 'way', 'to', 'get', 'my', 'hair', 'out', '.', 'ignore', 'the', 'messiness', 'lol', '<end>']","[2, 17, 5, 110, 9, 64, 4, 83, 30, 1, 6135, 5, 6136, 53, 3]"
img/insta5251,<start> Took my weave out  <end>,"['<start>', 'took', 'my', 'weave', 'out', '<end>']","[2, 442, 4, 1537, 30, 3]"
img/insta5252,<start> Ello  <end>,"['<start>', 'ello', '<end>']","[2, 6137, 3]"
img/insta5253,<start> good morning   <end>,"['<start>', 'good', 'morning', '<end>']","[2, 33, 55, 3]"
img/insta5256,<start>  caught me in my  <end>,"['<start>', 'caught', 'me', 'in', 'my', '<end>']","[2, 491, 14, 10, 4, 3]"
img/insta5257,<start> currently feeling cute  <end>,"['<start>', 'currently', 'feeling', 'cute', '<end>']","[2, 1234, 297, 171, 3]"
img/insta5259,<start> craving me some & an ice cold fountain Pepsi  <end>,"['<start>', 'craving', 'me', 'some', '&', 'an', 'ice', 'cold', 'fountain', 'pepsi', '<end>']","[2, 2277, 14, 98, 25, 130, 483, 647, 2885, 3849, 3]"
img/insta5260,<start> missing the grey  <end>,"['<start>', 'missing', 'the', 'grey', '<end>']","[2, 233, 5, 1237, 3]"
img/insta5261,<start> Cover number 2. Thank you  <end>,"['<start>', 'cover', 'number', '2.', 'thank', 'you', '<end>']","[2, 111, 1235, 1, 27, 7, 3]"
img/insta5265,<start> Earlier today with & What are you guys lookin at   <end>,"['<start>', 'earlier', 'today', 'with', '&', 'what', 'are', 'you', 'guys', 'lookin', 'at', '<end>']","[2, 733, 704, 13, 25, 46, 43, 7, 123, 827, 22, 3]"
